Date,SBUX,AAPL
1/2/13,54.79,545.85
1/3/13,55.16,538.96
1/4/13,55.48,523.95
1/7/13,55.51,520.86
1/8/13,55.41,522.27
1/9/13,54.43,514.1
1/10/13,54.34,520.48
1/11/13,54.8,517.29
1/14/13,54.47,498.84
1/15/13,54.28,483.1
1/16/13,54.15,503.16
1/17/13,54.3,499.77
1/18/13,54.6,497.1
1/22/13,54.78,501.85
1/23/13,54.26,511.03
1/24/13,54.37,447.89
1/25/13,56.6,437.33
1/28/13,55.81,447.22
1/29/13,55.39,455.61
1/30/13,55.79,454.18
1/31/13,55.91,452.85
2/1/13,56.65,450.99
2/4/13,55.88,439.76
2/5/13,56.2,455.19
2/6/13,56.05,454.7
2/7/13,55.86,468.22
2/8/13,56.37,474.98
2/11/13,56.14,479.93
2/12/13,56.26,467.9
2/13/13,55.83,467.01
2/14/13,55.55,466.59
2/15/13,54.34,460.16
2/19/13,54.45,459.99
2/20/13,53.31,448.85
2/21/13,53.35,446.06
2/22/13,54.17,450.81
2/25/13,53.21,442.8
2/26/13,53.28,448.97
2/27/13,54.57,444.57
2/28/13,54.85,441.4
3/1/13,54.87,430.47
3/4/13,55.7,420.05
3/5/13,56.51,431.14
3/6/13,57.1,425.66
3/7/13,58.25,430.58
3/8/13,58.67,431.72
3/11/13,58.61,437.87
3/12/13,58.28,428.43
3/13/13,58.59,428.35